,Names,Phones,Website,Street,City,State,Zip,Clg_type,Award,Campus_setting,Campus_housing,Student_population,Student_to_faculty_ratio
0,A Better U Beauty Barber Academy,(505) 265-4777,abuacademy.com/,5400 Phoenix Ave NE Suite 105, Albuquerque,New Mexico,87110,"2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),6 to 1
1,Aaniiih Nakoda College,(406) 353-2607 x3901,www.ancollege.edu/,269 Blackfeet Avenue Agency, Harlem,Montana,59526,"4-year, primarily associate's, Public",One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree,Rural: Remote,No,143 (all undergraduate),10 to 1
2,ABC Adult School,(562) 229-7960,www.abcadultschool.edu/,12254 Cuesta Drive, Cerritos,California,90703-2801,"2-year, Public",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,195 (all undergraduate),7 to 1
3,ABC Beauty Academy,(469) 872-0889,www.abcbeautyacademy.webs.com/,2109 Buckingham Rd., Richardson,Texas,75081,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,28 (all undergraduate),12 to 1
4,ABCO Technology,(310) 216-3067,www.abcotechnology.edu/,11222 S. La Cienega Blvd Ste 588, Inglewood,California,90304-1551,"2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,74 (all undergraduate),14 to 1
5,Abcott Institute,(248) 440-6020 x102,www.abcott.edu/,16250 Northland Drive, Suite 205,Michigan,48075-5227,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Small,No,142 (all undergraduate),10 to 1
6,Abraham Baldwin Agricultural College,(229) 391-5001,www.abac.edu/,2802 Moore Hwy, Tifton,Georgia,31793-2601,"4-year, primarily associate's, Public",Associate's degree<br/>Bachelor's degree,Town: Distant,Yes,"3,990 (all undergraduate)",19 to 1
7,Abraham Lincoln University,(213) 252-5100,www.alu.edu/,"<span class=""disted"">All programs offered completely via Distance education</span><br/>100 West Broadway", Suite 600,California,91210,"4-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate<br/>Associate's degree<br/>Bachelor's degree<br/>Postbaccalaureate certificate<br/>Master's degree<br/>Doctor's degree - research/scholarship<br/>Doctor's degree - professional practice,City: Midsize,No,265 (69 undergraduate),3 to 1
8,Academia Serrant Inc,(787) 259-4900,www.serrant.edu/,7033 Mendez Vigo, Ponce,Puerto Rico,00717-1250,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,City: Midsize,No,157 (all undergraduate),20 to 1
9,Academy Di Capelli-School of Cosmetology,(203) 294-9496 x0,www.academydicapelli.com/,950 Yale Ave Unit 20, Wallingford,Connecticut,06492,"2-year, Private for-profit",Less than one year certificate<br/>One but less than two years certificate,Suburb: Large,No,196 (all undergraduate),8 to 1
